base_station_density,coverage
0.01,0.00071
0.013182567385564075,0.00096
0.017378008287493755,0.00123
0.022908676527677724,0.00172
0.03019951720402016,0.00258
0.039810717055349734,0.00287
0.05248074602497726,0.00408
0.06918309709189363,0.00547
0.09120108393559097,0.00728
0.12022644346174131,0.00928
0.15848931924611134,0.01174
0.20892961308540398,0.01583
0.2754228703338166,0.02041
0.3630780547701014,0.0267
0.47863009232263826,0.03464
0.6309573444801934,0.04482
0.8317637711026709,0.05936
1.096478196143185,0.07877
1.4454397707459279,0.09629
1.9054607179632463,0.12423
2.5118864315095797,0.15408
3.311311214825911,0.19201
4.365158322401661,0.22761
5.754399373371567,0.269
7.585775750291836,0.31225
10,0.34581
13.182567385564074,0.36942
17.378008287493763,0.37837
22.908676527677724,0.37997
30.19951720402016,0.3703
39.810717055349734,0.36102
52.480746024977286,0.35296
69.18309709189363,0.35323
91.20108393559097,0.34736
120.22644346174131,0.35474
158.48931924611142,0.35326
208.92961308540407,0.36408
275.4228703338169,0.36431
363.078054770101,0.36642
478.630092322638,0.36327
630.957344480193,0.36113
831.7637711026708,0.36171
1096.4781961431852,0.35026
1445.439770745928,0.33979
1905.4607179632483,0.32019
2511.886431509582,0.28709
3311.311214825908,0.24715
4365.158322401657,0.19797
5754.399373371566,0.14167
7585.775750291836,0.08676
10000,0.04321
