theta,probability
-117.42099003856814,0.765509
-116.90102230364171,0.765509
-116.38105456871529,0.765509
-115.86108683378886,0.765509
-115.34111909886245,0.765509
-114.82115136393602,0.765509
-114.3011836290096,0.765509
-113.78121589408318,0.765508
-113.26124815915675,0.765508
-112.74128042423033,0.765508
-112.2213126893039,0.765508
-111.70134495437748,0.765508
-111.18137721945106,0.765508
-110.66140948452464,0.765508
-110.14144174959821,0.7655069999999999
-109.62147401467179,0.7655069999999999
-109.10150627974537,0.7655069999999999
-108.58153854481894,0.765506
-108.06157080989252,0.765506
-107.5416030749661,0.765506
-107.02163534003968,0.765506
-106.50166760511325,0.765506
-105.98169987018683,0.765506
-105.4617321352604,0.765506
-104.94176440033398,0.765505
-104.42179666540756,0.765502
-103.90182893048114,0.765502
-103.38186119555472,0.765502
-102.8618934606283,0.765502
-102.34192572570187,0.765502
-101.82195799077545,0.765501
-101.30199025584902,0.765501
-100.7820225209226,0.7655000000000001
-100.26205478599618,0.7655000000000001
-99.74208705106975,0.7655000000000001
-99.22211931614333,0.765499
-98.70215158121691,0.765496
-98.18218384629049,0.765493
-97.66221611136406,0.7654920000000001
-97.14224837643764,0.765491
-96.62228064151121,0.76549
-96.10231290658479,0.765488
-95.58234517165837,0.765487
-95.06237743673195,0.765485
-94.54240970180552,0.765483
-94.0224419668791,0.7654799999999999
-93.50247423195268,0.765477
-92.98250649702625,0.765475
-92.46253876209983,0.765471
-91.94257102717341,0.765467
-91.42260329224699,0.765464
-90.90263555732056,0.765464
-90.38266782239414,0.765461
-89.86270008746772,0.765458
-89.34273235254129,0.765456
-88.82276461761487,0.765449
-88.30279688268845,0.765444
-87.78282914776202,0.765439
-87.2628614128356,0.765435
-86.74289367790918,0.765433
-86.22292594298276,0.765429
-85.70295820805633,0.765427
-85.1829904731299,0.76542
-84.6630227382035,0.7654179999999999
-84.14305500327706,0.765409
-83.62308726835064,0.7653989999999999
-83.10311953342422,0.765394
-82.5831517984978,0.765387
-82.06318406357137,0.7653760000000001
-81.54321632864495,0.765366
-81.02324859371853,0.76536
-80.5032808587921,0.765355
-79.98331312386568,0.765346
-79.46334538893925,0.76534
-78.94337765401283,0.765335
-78.42340991908641,0.765323
-77.90344218415999,0.765314
-77.38347444923356,0.765304
-76.86350671430714,0.765298
-76.34353897938072,0.765288
-75.82357124445429,0.7652760000000001
-75.30360350952787,0.765267
-74.78363577460145,0.765252
-74.26366803967503,0.765237
-73.7437003047486,0.765217
-73.22373256982218,0.7652019999999999
-72.70376483489576,0.765184
-72.18379709996933,0.765159
-71.66382936504291,0.765142
-71.14386163011649,0.765119
-70.62389389519006,0.765092
-70.10392616026364,0.765064
-69.58395842533722,0.765041
-69.0639906904108,0.765009
-68.54402295548437,0.764985
-68.02405522055795,0.764954
-67.50408748563153,0.764913
-66.9841197507051,0.764876
-66.46415201577868,0.764847
-65.94418428085226,0.764797
-65.42421654592584,0.7647619999999999
-64.9042488109994,0.764728
-64.384281076073,0.7646809999999999
-63.86431334114655,0.764648
-63.34434560622014,0.764602
-62.82437787129371,0.764543
-62.30441013636729,0.7644839999999999
-61.78444240144086,0.764417
-61.264474666514445,0.764352
-60.74450693158802,0.764292
-60.224539196661595,0.764229
-59.70457146173517,0.764173
-59.18460372680875,0.764095
-58.66463599188233,0.764008
-58.1446682569559,0.763921
-57.624700522029485,0.763843
-57.10473278710306,0.763767
-56.584765052176635,0.76367
-56.06479731725021,0.763566
-55.54482958232379,0.763447
-55.02486184739737,0.763335
-54.50489411247094,0.763217
-53.98492637754452,0.7630859999999999
-53.4649586426181,0.762968
-52.94499090769167,0.762814
-52.42502317276526,0.76266
-51.90505543783883,0.76252
-51.38508770291241,0.76237
-50.86511996798598,0.7622
-50.34515223305956,0.762005
-49.82518449813313,0.76184
-49.30521676320671,0.76163
-48.7852490282803,0.761432
-48.26528129335387,0.7612369999999999
-47.74531355842745,0.761017
-47.22534582350102,0.760785
-46.7053780885746,0.7605459999999999
-46.18541035364817,0.760246
-45.66544261872175,0.759987
-45.14547488379532,0.7597
-44.62550714886891,0.759406
-44.10553941394249,0.759112
-43.58557167901606,0.758788
-43.06560394408964,0.75846
-42.54563620916321,0.7580830000000001
-42.02566847423679,0.757718
-41.50570073931036,0.757304
-40.98573300438395,0.756909
-40.46576526945753,0.75649
-39.9457975345311,0.756036
-39.42582979960468,0.755536
-38.90586206467825,0.755028
-38.38589432975183,0.754483
-37.8659265948254,0.753951
-37.34595885989898,0.75336
-36.82599112497257,0.752759
-36.30602339004614,0.752127
-35.78605565511972,0.7514419999999999
-35.26608792019329,0.750687
-34.74612018526687,0.749957
-34.22615245034044,0.749142
-33.70618471541402,0.7482679999999999
-33.18621698048761,0.747403
-32.66624924556118,0.746496
-32.14628151063476,0.745525
-31.626313775708333,0.74455
-31.106346040781908,0.743568
-30.586378305855483,0.742534
-30.066410570929058,0.741405
-29.546442836002633,0.7402569999999999
-29.026475101076223,0.7390369999999999
-28.506507366149798,0.737745
-27.986539631223373,0.7364470000000001
-27.466571896296948,0.735047
-26.946604161370523,0.733651
-26.426636426444098,0.732205
-25.906668691517673,0.7306239999999999
-25.386700956591262,0.728972
-24.866733221664838,0.727229
-24.346765486738413,0.725488
-23.826797751811988,0.7237210000000001
-23.306830016885563,0.7217290000000001
-22.786862281959138,0.7197640000000001
-22.266894547032713,0.717666
-21.746926812106288,0.715509
-21.226959077179878,0.713246
-20.706991342253453,0.71096
-20.187023607327028,0.7085710000000001
-19.667055872400603,0.706063
-19.147088137474178,0.703487
-18.627120402547753,0.700731
-18.107152667621328,0.697967
-17.587184932694917,0.69505
-17.067217197768493,0.69205
-16.547249462842068,0.688874
-16.027281727915643,0.685569
-15.50731399298922,0.682312
-14.987346258062795,0.678929
-14.46737852313637,0.675333
-13.947410788209945,0.671601
-13.427443053283534,0.667832
-12.90747531835711,0.66387
-12.387507583430684,0.6598459999999999
-11.86753984850426,0.6556759999999999
-11.347572113577835,0.6513180000000001
-10.82760437865141,0.6467620000000001
-10.307636643724985,0.6422129999999999
-9.78766890879856,0.637488
-9.26770117387215,0.63272
-8.747733438945724,0.627624
-8.2277657040193,0.622333
-7.707797969092874,0.6170910000000001
-7.187830234166449,0.611666
-6.667862499240024,0.606101
-6.147894764313599,0.600406
-5.627927029387188,0.59453
-5.1079592944607635,0.588372
-4.587991559534339,0.5816680000000001
-4.068023824607914,0.574961
-3.548056089681489,0.5680339999999999
-3.028088354755064,0.560701
-2.508120619828639,0.5529189999999999
-1.988152884902214,0.544721
-1.4681851499758034,0.535887
-0.9482174150493785,0.526435
-0.42824968012295367,0.5161800000000001
0.09171805480347123,0.50388
0.6116857897298962,0.49118700000000004
1.131653524656321,0.47893399999999997
1.651621259582746,0.466753
2.1715889945091567,0.454978
2.6915567294355816,0.44340500000000005
3.2115244643620064,0.431864
3.7314921992884313,0.42061499999999996
4.251459934214856,0.40969900000000004
4.771427669141281,0.39919000000000004
5.291395404067706,0.38847600000000004
5.811363138994131,0.378159
6.331330873920542,0.36795999999999995
6.8512986088469665,0.35805299999999995
7.371266343773391,0.34833400000000003
7.891234078699816,0.33895699999999995
8.41120181362624,0.32979499999999995
8.931169548552665,0.320929
9.45113728347909,0.312226
9.9711050184055,0.30385300000000004
10.491072753331926,0.295527
11.01104048825835,0.28738300000000006
11.53100822318479,0.27950600000000003
12.0509759581112,0.271802
12.570943693037611,0.264178
13.09091142796405,0.256742
13.61087916289046,0.24941800000000003
14.1308468978169,0.24251299999999998
14.65081463274331,0.23562300000000003
15.17078236766975,0.22894599999999998
15.69075010259616,0.22247499999999998
16.210717837522573,0.21620300000000003
16.730685572449012,0.21016500000000005
17.250653307375423,0.20414200000000005
17.770621042301862,0.19821299999999997
18.290588777228272,0.192508
18.81055651215471,0.18700300000000003
19.330524247081122,0.181601
19.850491982007533,0.17634099999999997
20.370459716933972,0.17127499999999996
20.890427451860383,0.16634000000000004
21.410395186786822,0.16151800000000005
21.930362921713233,0.15683999999999998
22.45033065663967,0.15219800000000006
22.970298391566082,0.147787
23.49026612649252,0.14360300000000004
24.010233861418932,0.13946000000000003
24.530201596345343,0.13531400000000005
25.050169331271782,0.13129999999999997
25.570137066198193,0.12746199999999996
26.09010480112463,0.12377499999999997
26.610072536051042,0.12014000000000002
27.13004027097748,0.11657799999999996
27.650008005903892,0.11316999999999999
28.169975740830303,0.10987499999999994
28.689943475756742,0.10658500000000004
29.209911210683153,0.10350199999999998
29.72987894560959,0.10047600000000001
30.249846680536002,0.09745800000000004
30.76981441546244,0.094611
31.289782150388852,0.09179400000000004
31.809749885315263,0.08910499999999999
32.3297176202417,0.08647000000000005
32.84968535516811,0.08387900000000004
33.36965309009455,0.08144300000000004
33.88962082502096,0.079017
34.4095885599474,0.076654
34.92955629487381,0.07447400000000004
35.44952402980022,0.07232499999999997
35.96949176472666,0.070187
36.48945949965307,0.06814299999999995
37.00942723457951,0.06612600000000002
37.52939496950592,0.064137
38.04936270443236,0.06220099999999995
38.56933043935877,0.06028100000000003
39.08929817428521,0.05851300000000004
39.60926590921162,0.05682900000000002
40.12923364413803,0.05517700000000003
40.64920137906447,0.05357900000000004
41.16916911399088,0.05195899999999998
41.68913684891732,0.05040800000000001
42.20910458384373,0.048919000000000046
42.72907231877017,0.047408000000000006
43.24904005369658,0.04594900000000002
43.76900778862299,0.04462299999999997
44.28897552354943,0.04328399999999999
44.80894325847584,0.04195400000000005
45.32891099340228,0.04072600000000004
45.84887872832869,0.03958499999999998
46.36884646325513,0.03845200000000004
46.88881419818154,0.03724899999999998
47.40878193310795,0.03613900000000003
47.92874966803439,0.03509399999999996
48.4487174029608,0.034024000000000054
48.96868513788724,0.032989999999999964
49.48865287281365,0.03200499999999995
50.00862060774009,0.031046000000000018
50.5285883426665,0.03014899999999998
51.04855607759291,0.029239000000000015
51.56852381251935,0.02837999999999996
52.08849154744576,0.027581999999999995
52.6084592823722,0.02676299999999998
53.12842701729861,0.02592799999999995
53.64839475222505,0.025146
54.16836248715146,0.024461999999999984
54.6883302220779,0.023692999999999964
55.20829795700431,0.02296799999999999
55.72826569193072,0.022314999999999974
56.24823342685716,0.021648
56.76820116178357,0.020994999999999986
57.28816889671001,0.02034899999999995
57.80813663163642,0.019772000000000012
58.32810436656286,0.01918399999999998
58.84807210148927,0.018577999999999983
59.36803983641568,0.018052999999999986
59.88800757134212,0.017529000000000017
60.40797530626853,0.017011
60.92794304119497,0.016495000000000037
61.44791077612138,0.015998999999999985
61.96787851104782,0.015522999999999954
62.48784624597423,0.015058000000000016
63.00781398090064,0.014569999999999972
63.52778171582708,0.014141999999999988
64.04774945075349,0.013731999999999966
64.56771718567992,0.01333899999999999
65.08768492060634,0.012944999999999984
65.60765265553277,0.012530999999999959
66.12762039045919,0.01216600000000001
66.6475881253856,0.011784000000000017
67.16755586031204,0.011454999999999993
67.68752359523845,0.011104000000000003
68.20749133016488,0.010769999999999946
68.7274590650913,0.010446999999999984
69.24742680001773,0.010117000000000043
69.76739453494415,0.009808999999999957
70.28736226987058,0.009515000000000051
70.807330004797,0.009195999999999982
71.3272977397234,0.008893999999999957
71.84726547464984,0.008623999999999965
