theta,probability
-45.191601285620386,0.99999
-45.06108877170778,0.99999
-44.930576257795174,0.99999
-44.80006374388257,0.99999
-44.66955122996996,0.99999
-44.539038716057355,0.99999
-44.40852620214475,0.99999
-44.27801368823214,0.99999
-44.14750117431954,0.99999
-44.01698866040693,0.99999
-43.886476146494324,0.99999
-43.75596363258172,0.99999
-43.62545111866911,0.99999
-43.494938604756506,0.99999
-43.3644260908439,0.99999
-43.23391357693129,0.99999
-43.10340106301869,0.99999
-42.97288854910608,0.99999
-42.842376035193475,0.99999
-42.71186352128087,0.99999
-42.58135100736826,0.99999
-42.450838493455656,0.99999
-42.32032597954305,0.99999
-42.18981346563044,0.99997
-42.05930095171784,0.99997
-41.92878843780523,0.99997
-41.798275923892625,0.99995
-41.66776340998002,0.99994
-41.53725089606741,0.99993
-41.406738382154806,0.99993
-41.2762258682422,0.99992
-41.145713354329594,0.99992
-41.01520084041699,0.99992
-40.88468832650438,0.99992
-40.754175812591775,0.99991
-40.62366329867917,0.99991
-40.49315078476656,0.99988
-40.36263827085396,0.99988
-40.23212575694134,0.99988
-40.10161324302874,0.99986
-39.97110072911613,0.99985
-39.840588215203525,0.99985
-39.71007570129092,0.99985
-39.57956318737831,0.9998
-39.449050673465706,0.99977
-39.3185381595531,0.99977
-39.188025645640494,0.99975
-39.05751313172789,0.99972
-38.92700061781528,0.99972
-38.796488103902675,0.9997
-38.66597558999007,0.9997
-38.53546307607746,0.99968
-38.404950562164856,0.99962
-38.27443804825225,0.99959
-38.143925534339644,0.99957
-38.01341302042704,0.99957
-37.88290050651443,0.99957
-37.752387992601825,0.99953
-37.62187547868922,0.99948
-37.49136296477661,0.99943
-37.36085045086401,0.99941
-37.2303379369514,0.99939
-37.099825423038794,0.99932
-36.96931290912619,0.99929
-36.83880039521358,0.99923
-36.708287881300976,0.99921
-36.57777536738837,0.99914
-36.44726285347576,0.99908
-36.31675033956316,0.99904
-36.18623782565055,0.99901
-36.055725311737945,0.99895
-35.92521279782534,0.99888
-35.79470028391273,0.99881
-35.664187770000126,0.99875
-35.53367525608752,0.99872
-35.40316274217491,0.99867
-35.27265022826231,0.99858
-35.1421377143497,0.99847
-35.011625200437095,0.9984
-34.88111268652449,0.99835
-34.75060017261188,0.99827
-34.620087658699276,0.99816
-34.48957514478667,0.99805
-34.359062630874064,0.99799
-34.22855011696146,0.9979
-34.09803760304885,0.99776
-33.967525089136245,0.99761
-33.83701257522364,0.99753
-33.70650006131103,0.99733
-33.57598754739843,0.99726
-33.44547503348582,0.99712
-33.314962519573214,0.99701
-33.18445000566061,0.99687
-33.053937491748,0.99674
-32.923424977835396,0.9966
-32.79291246392279,0.99644
-32.66239995001018,0.99627
-32.53188743609758,0.99613
-32.40137492218497,0.99595
-32.270862408272365,0.99582
-32.14034989435976,0.99572
-32.00983738044715,0.99557
-31.879324866534546,0.99543
-31.74881235262194,0.9952
-31.618299838709333,0.99502
-31.487787324796727,0.99479
-31.35727481088412,0.99461
-31.226762296971515,0.99442
-31.09624978305891,0.99426
-30.965737269146302,0.99405
-30.835224755233696,0.99379
-30.70471224132109,0.99359
-30.574199727408484,0.99332
-30.443687213495878,0.99301
-30.31317469958327,0.99266
-30.182662185670665,0.99245
-30.05214967175806,0.99218
-29.921637157845453,0.99192
-29.791124643932843,0.99162
-29.660612130020237,0.99133
-29.53009961610763,0.99107
-29.399587102195024,0.99077
-29.269074588282418,0.99051
-29.138562074369812,0.99017
-29.008049560457206,0.98986
-28.8775370465446,0.98953
-28.747024532631993,0.98913
-28.616512018719387,0.98872
-28.48599950480678,0.98849
-28.355486990894175,0.98805
-28.22497447698157,0.9877
-28.094461963068962,0.98738
-27.963949449156356,0.98694
-27.83343693524375,0.98651
-27.702924421331144,0.98609
-27.572411907418537,0.98555
-27.44189939350593,0.98512
-27.311386879593325,0.98462
-27.18087436568072,0.98417
-27.050361851768113,0.98372
-26.919849337855506,0.98326
-26.7893368239429,0.98273
-26.658824310030294,0.98216
-26.528311796117688,0.98158
-26.39779928220508,0.98089
-26.267286768292475,0.98038
-26.13677425437987,0.97979
-26.006261740467263,0.97917
-25.875749226554657,0.97837
-25.74523671264205,0.97765
-25.61472419872944,0.97706
-25.484211684816835,0.97635
-25.35369917090423,0.97564
-25.223186656991622,0.97493
-25.092674143079016,0.97431
-24.96216162916641,0.97359
-24.831649115253803,0.97288
-24.701136601341197,0.97189
-24.57062408742859,0.97104
-24.440111573515985,0.97028
-24.30959905960338,0.96942
-24.179086545690772,0.96863
-24.048574031778166,0.96777
-23.91806151786556,0.96684
-23.787549003952954,0.96587
-23.657036490040348,0.96503
-23.52652397612774,0.96401
-23.396011462215135,0.96312
-23.26549894830253,0.9621
-23.134986434389923,0.96127
-23.004473920477317,0.96029
-22.87396140656471,0.95926
-22.743448892652104,0.95819
-22.612936378739498,0.95722
-22.48242386482689,0.95619
-22.351911350914285,0.95498
-22.22139883700168,0.95375
-22.090886323089073,0.95275
-21.960373809176467,0.95151
-21.82986129526386,0.95038
-21.699348781351254,0.94933
-21.56883626743865,0.94828
-21.438323753526042,0.94706
-21.307811239613436,0.94604
-21.17729872570083,0.94485
-21.046786211788223,0.94356
-20.916273697875617,0.94235
-20.78576118396301,0.94096
-20.655248670050405,0.93974
-20.5247361561378,0.93863
-20.394223642225192,0.9375
-20.263711128312586,0.93614
-20.13319861439998,0.93486
-20.00268610048737,0.93354
-19.872173586574764,0.93213
-19.741661072662158,0.93054
-19.61114855874955,0.92901
-19.480636044836945,0.9275100000000001
-19.35012353092434,0.92601
-19.219611017011733,0.92435
-19.089098503099127,0.92273
-18.95858598918652,0.92125
-18.828073475273914,0.91971
-18.697560961361308,0.91816
-18.567048447448702,0.91662
-18.436535933536096,0.91482
-18.30602341962349,0.91313
-18.175510905710883,0.91148
-18.044998391798277,0.90984
-17.91448587788567,0.90826
-17.783973363973065,0.90681
-17.65346085006046,0.90484
-17.522948336147852,0.90299
-17.392435822235246,0.90152
-17.26192330832264,0.89967
-17.131410794410034,0.89774
-17.000898280497427,0.8959
-16.87038576658482,0.89419
-16.739873252672215,0.89237
-16.60936073875961,0.8906499999999999
-16.478848224847003,0.88899
-16.348335710934396,0.8874
-16.21782319702179,0.88567
-16.087310683109184,0.88392
-15.956798169196578,0.88185
-15.826285655283971,0.88011
-15.695773141371365,0.87829
-15.565260627458759,0.87641
-15.434748113546153,0.87473
-15.304235599633547,0.87264
-15.17372308572094,0.87073
-15.043210571808334,0.86871
-14.912698057895728,0.86638
-14.782185543983122,0.86419
-14.651673030070516,0.86203
-14.521160516157906,0.86007
-14.3906480022453,0.8581
-14.260135488332693,0.8561
-14.129622974420087,0.85397
-13.999110460507481,0.85199
-13.868597946594875,0.84962
-13.738085432682269,0.84699
-13.607572918769662,0.84472
-13.477060404857056,0.8425400000000001
-13.34654789094445,0.8405
-13.216035377031844,0.83827
-13.085522863119238,0.83613
-12.955010349206631,0.83401
-12.824497835294025,0.83167
-12.693985321381419,0.82939
-12.563472807468813,0.82683
-12.432960293556206,0.82431
-12.3024477796436,0.82206
-12.171935265730994,0.81999
-12.041422751818388,0.81765
-11.910910237905782,0.81514
-11.780397723993175,0.81294
-11.64988521008057,0.8106800000000001
-11.519372696167963,0.80825
-11.388860182255357,0.8061
-11.25834766834275,0.8034399999999999
-11.127835154430144,0.8012
-10.997322640517538,0.79863
-10.866810126604932,0.79609
-10.736297612692326,0.79325
-10.60578509877972,0.79072
-10.475272584867113,0.7882
-10.344760070954507,0.78563
-10.214247557041901,0.78339
-10.083735043129295,0.7805
-9.953222529216688,0.77788
-9.822710015304082,0.77528
-9.692197501391476,0.7725
-9.56168498747887,0.77001
-9.431172473566264,0.76717
-9.300659959653657,0.7642
-9.170147445741051,0.76145
-9.039634931828445,0.75899
-8.909122417915839,0.7565500000000001
-8.778609904003233,0.75359
-8.648097390090626,0.7507699999999999
-8.51758487617802,0.74786
-8.387072362265414,0.74491
-8.256559848352808,0.74197
-8.126047334440202,0.7392000000000001
-7.995534820527595,0.73641
-7.865022306614989,0.73386
-7.734509792702383,0.73092
-7.603997278789777,0.7281299999999999
-7.4734847648771705,0.7253000000000001
-7.342972250964564,0.7225699999999999
-7.212459737051958,0.71953
-7.081947223139352,0.71661
-6.951434709226746,0.71367
-6.8209221953141395,0.7106
-6.690409681401533,0.70772
-6.559897167488927,0.70448
-6.429384653576321,0.7013499999999999
-6.298872139663715,0.6982900000000001
-6.168359625751101,0.69521
-6.037847111838495,0.69236
-5.907334597925889,0.68953
-5.776822084013283,0.68641
-5.6463095701006765,0.6833899999999999
-5.51579705618807,0.68055
-5.385284542275464,0.6777299999999999
-5.254772028362858,0.67477
-5.124259514450252,0.67189
-4.993747000537645,0.66872
-4.863234486625039,0.6657
-4.732721972712433,0.6626099999999999
-4.602209458799827,0.6597500000000001
-4.471696944887221,0.65665
-4.341184430974614,0.65358
-4.210671917062008,0.65048
-4.080159403149402,0.64748
-3.9496468892367957,0.6444300000000001
-3.8191343753241895,0.6411
-3.6886218614115833,0.63767
-3.558109347498977,0.63462
-3.427596833586371,0.63138
-3.2970843196737647,0.62774
-3.1665718057611585,0.6241
-3.0360592918485523,0.61887
-2.905546777935946,0.6154200000000001
-2.77503426402334,0.61187
-2.6445217501107336,0.60809
-2.5140092361981274,0.60477
-2.3834967222855212,0.60095
-2.252984208372915,0.59735
-2.122471694460309,0.5942000000000001
-1.9919591805477026,0.59034
-1.8614466666350964,0.58639
-1.7309341527224902,0.58264
-1.600421638809884,0.57877
-1.4699091248972778,0.57502
-1.3393966109846716,0.5710299999999999
-1.2088840970720653,0.5669
-1.0783715831594591,0.5629
-0.9478590692468529,0.5586599999999999
-0.8173465553342467,0.55467
