base_station_density,avg_sinr_db
0.5011872336272722,-24.539548635242674
0.567762450497782,-19.891237615633518
0.6431811877215088,-21.15346112470766
0.7286181745132277,-19.561610157351385
0.8254041852680185,-20.164157475376022
0.93504676782612,-16.21653096856535
1.0592537251772889,-16.850910547128393
1.1999597163578588,-17.725972683958446
1.3593563908785258,-16.844717935436073
1.539926526059492,-15.463127774954085
1.7444826989992543,-15.443912358507657
1.976211095535186,-15.592618523554005
2.23872113856834,-13.550816204536435
2.5361017087678266,-13.399634124818355
2.8729848333536645,-13.905997256830304
3.2546178349804586,-12.022377804478355
3.686945064519575,-12.553819694349045
4.176700490817188,-11.360237545660707
4.731512589614805,-10.709519812380716
5.360023165391793,-10.040166213813709
6.072021956909887,-9.886906131040764
6.878599123088074,-9.666131444950905
7.79231798434194,-8.44275718911944
8.82741071002247,-7.4533379154651636
10,-7.552686971197544
