base_station_density,coverage
0.01,0.00265
0.013182567385564075,0.00351
0.017378008287493755,0.00481
0.022908676527677724,0.00703
0.03019951720402016,0.00885
0.039810717055349734,0.01127
0.05248074602497726,0.01499
0.06918309709189363,0.01941
0.09120108393559097,0.02661
0.12022644346174131,0.03291
0.15848931924611134,0.04344
0.20892961308540398,0.05482
0.2754228703338166,0.06985
0.3630780547701014,0.09141
0.47863009232263826,0.11298
0.6309573444801934,0.14247
0.8317637711026709,0.17492
1.096478196143185,0.21401
1.4454397707459279,0.24603
1.9054607179632463,0.27466
2.5118864315095797,0.30125
3.311311214825911,0.31772
4.365158322401661,0.31797
5.754399373371567,0.30805
7.585775750291836,0.29242
10,0.27303
13.182567385564074,0.25346
17.378008287493763,0.24314
22.908676527677724,0.23742
30.19951720402016,0.24092
39.810717055349734,0.24344
52.480746024977286,0.25014
69.18309709189363,0.25875
91.20108393559097,0.2675
120.22644346174131,0.27872
158.48931924611142,0.28879
208.92961308540407,0.30073
275.4228703338169,0.30935
363.078054770101,0.31609
478.630092322638,0.32361
630.957344480193,0.32938
831.7637711026708,0.32886
1096.4781961431852,0.3264
1445.439770745928,0.31879
1905.4607179632483,0.30139
2511.886431509582,0.27325
3311.311214825908,0.23674
4365.158322401657,0.18914
5754.399373371566,0.13147
7585.775750291836,0.08291
10000,0.03982
