base_station_density,coverage
0.01,0.00068
0.013182567385564075,0.001
0.017378008287493755,0.00135
0.022908676527677724,0.00192
0.03019951720402016,0.0025
0.039810717055349734,0.00339
0.05248074602497726,0.00452
0.06918309709189363,0.0059
0.09120108393559097,0.00687
0.12022644346174131,0.00944
0.15848931924611134,0.01375
0.20892961308540398,0.01756
0.2754228703338166,0.02271
0.3630780547701014,0.02953
0.47863009232263826,0.03888
0.6309573444801934,0.04971
0.8317637711026709,0.06777
1.096478196143185,0.08531
1.4454397707459279,0.10805
1.9054607179632463,0.13901
2.5118864315095797,0.17564
3.311311214825911,0.21932
4.365158322401661,0.27171
5.754399373371567,0.32732
7.585775750291836,0.3829
10,0.43828
13.182567385564074,0.48413
17.378008287493763,0.51129
22.908676527677724,0.51534
30.19951720402016,0.50106
39.810717055349734,0.46981
52.480746024977286,0.43763
69.18309709189363,0.41073
91.20108393559097,0.39369
120.22644346174131,0.3833
158.48931924611142,0.37903
208.92961308540407,0.37912
275.4228703338169,0.37797
363.078054770101,0.37568
478.630092322638,0.37165
630.957344480193,0.36836
831.7637711026708,0.36551
1096.4781961431852,0.35231
1445.439770745928,0.33896
1905.4607179632483,0.3123
2511.886431509582,0.28019
3311.311214825908,0.23508
4365.158322401657,0.18282
5754.399373371566,0.12513
7585.775750291836,0.07424
10000,0.03525
