base_station_density,avg_sinr_db
0.5011872336272722,-18.554400002984767
0.7571233961163606,-19.277886593053648
1.1437558630495384,-15.70521462268523
1.7278259805078633,-14.942542245651902
2.610157215682537,-13.680639775297522
3.943059525344722,-11.158564262953604
5.956621435290104,-9.362322646369917
8.998428427289744,-7.606264346087616
13.593563908785255,-5.385588305624738
20.53525026457146,-3.8313677768638605
31.021776647995015,-2.1347695703934892
46.86335028788954,-0.38397173562559916
70.79457843841377,1.214242608997895
106.94652229266451,3.1361296745304394
161.55980984398747,4.643473662579912
244.06190680419814,6.325499592623277
368.6945064519577,7.6985324246445295
556.9719620231798,9.10287198406884
841.3951416451956,10.264051944323365
1271.0617996147457,11.03803818130909
1920.1419386388031,11.441055158225684
2900.681198693156,11.272863013504374
4381.942421619441,10.315174841701085
6619.624174845159,8.454691970219944
10000,5.590871400583022
